Bình luận,Tôn giáo,Chính trị,Cá nhân,Đồ vật,Quốc gia,Vùng miền,Tổ chức/ tập thể,Dân tộc,Động vật,NOTE:,,,,
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),3,3,3,0,3,3,3,3,0,Nhãn:,0,1,2,3
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,3,1,3,0,0,0,3,3,0,,Không đề cập,Bình thường,Phản cảm,Xúc phạm
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",0,0,3,0,0,3,3,2,0,Nhãn sẽ tập trung vê vấn đề nói về cái gì đó,,,,
Loại này cho dựa cột thôi chứ độ thế nào,2,0,3,0,0,0,3,3,1,,,,,
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,0,0,2,0,0,0,0,0,0,,,,,
Thật chán với chế độ quản lý dân sinh,0,3,0,0,3,3,3,0,0,,,,,
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,0,0,3,0,0,0,0,0,1,,,,,
Nhậu cái đm chúng mày lũ chó hại dân hại nước,3,0,3,0,0,0,3,3,0,,,,,
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,0,0,3,0,0,3,3,0,0,,,,,
Chỉ 3 vàng ngọc như con heo nọc nhà e,0,0,0,0,0,0,0,0,1,,,,,
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),0,0,2,0,0,0,0,0,0,,,,,
Anh ba láo nháo là Tú xiên giờ,0,0,2,0,0,0,0,0,0,,,,,
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",0,2,3,1,0,0,3,0,0,,,,,
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,0,0,3,0,0,0,0,0,3,,,,,
Khắc Thành Nguyễn phục cái máu lồn,3,3,3,0,3,3,3,3,2,,,,,
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,0,3,3,0,2,2,3,2,0,,,,,
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",3,3,3,0,3,3,3,3,1,,,,,
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,0,2,2,0,2,0,2,2,0,,,,,
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,1,0,3,0,0,0,0,3,0,,,,,
Lê Thị Bích Hồng tk trẩu,0,0,2,0,0,0,0,0,0,,,,,
Anh Minh chậm cái con cặc,2,2,2,2,2,2,2,2,2,,,,,
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,0,0,2,0,0,0,0,0,2,,,,,
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh).,0,0,3,0,0,0,3,0,1,,,,,
Chú trung đầu L chứ chú tí đầu lân clg 🤣,0,0,3,0,0,0,0,0,0,,,,,
Hiếu Bùi sủa dơ,3,3,3,0,3,0,3,3,1,,,,,
Mày nói như lồn. Bọn đa cấp nó đóng thuế còn gấp chục lần doanh nghiệp. Tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới?,0,0,3,0,0,0,2,0,0,,,,,
Tình đồng chí thật kiên trung!Sách lịch sử dạy giặc tra tấn dã man thế nào cũng không mở mồm có #,0,0,1,0,0,0,0,0,0,,,,,
Im mẹ đi thằng mặt lon,0,0,3,0,0,0,0,0,0,,,,,
thằng ad này não bị delay 3 năm à :)),0,0,3,0,0,0,3,0,0,,,,,
